state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Himachal Pradesh,Kangra,Kangra(Jassour),Grapes,Other,07/14/2009,4000,5000,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Green Chilli,Other,10/09/2006,6000,6500,6250
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,11/30/2006,1500,1700,1600
Himachal Pradesh,Kangra,Kangra(Jassour),Lemon,Other,08/03/2023,3800,4000,3900
Himachal Pradesh,Kangra,Kangra(Jassour),Mashrooms,Other,12/24/2025,9000,10000,9500
Himachal Pradesh,Kangra,Kangra(Jassour),Methi(Leaves),Other,07/12/2006,900,1000,950
Himachal Pradesh,Kangra,Kangra(Jassour),Mousambi(Sweet Lime),Other,08/06/2003,3500,4000,3750
Himachal Pradesh,Kangra,Kangra(Jassour),Onion,Other,01/24/2019,700,800,750
Himachal Pradesh,Kangra,Kangra(Jassour),Orange,Other,02/05/2024,3000,3500,3250
Himachal Pradesh,Kangra,Kangra(Jassour),Papaya,Other,05/04/2007,2000,2500,2250
Himachal Pradesh,Kangra,Kangra(Jassour),Peas cod,Other,11/25/2025,1600,1700,1650
Himachal Pradesh,Kangra,Kangra(Jassour),Pineapple,Other,09/29/2008,2000,2500,2250
Himachal Pradesh,Kangra,Kangra(Jassour),Pomegranate,Other,09/21/2011,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Potato,Other,01/23/2016,700,800,750
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,04/01/2007,500,600,550
Himachal Pradesh,Kangra,Kangra(Jassour),Spinach,Other,05/09/2022,900,1000,950
Himachal Pradesh,Kangra,Kangra(Jassour),Tomato,Other,04/17/2012,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Apple,Apple,03/16/2025,7500,8000,8000
Himachal Pradesh,Kangra,Palampur,Ber(Zizyphus/Borehannu),Other,01/25/2005,2400,2500,2500
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),Other,10/19/2007,6000,6500,6500
Himachal Pradesh,Kangra,Palampur,Bottle gourd,Bottle Gourd,07/26/2002,2800,3000,3000
Himachal Pradesh,Kangra,Palampur,Brinjal,Other,08/26/2016,2500,2500,2500
Himachal Pradesh,Kangra,Palampur,Cabbage,Cabbage,03/02/2003,800,900,900
Himachal Pradesh,Kangra,Palampur,Capsicum,Capsicum,01/27/2008,4500,4800,4500
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,10/13/2013,800,900,900
Himachal Pradesh,Kangra,Palampur,Cauliflower,Cauliflower,06/10/2015,1000,1100,1100
Himachal Pradesh,Kangra,Palampur,Cucumbar(Kheera),Other,06/08/2009,5000,5500,5500
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),Other,02/09/2010,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Ginger(Green),Other,07/03/2007,8000,9000,9000
Himachal Pradesh,Kangra,Palampur,Grapes,Other,04/11/2020,6500,7000,7000
Himachal Pradesh,Kangra,Palampur,Green Chilli,Green Chilly,01/21/2023,4500,5000,5000
Himachal Pradesh,Kangra,Palampur,Guava,Other,04/22/2014,4000,5000,4500
Himachal Pradesh,Kangra,Palampur,Kinnow,Other,04/01/2004,2000,2400,2200
Himachal Pradesh,Kangra,Palampur,Lemon,Other,02/14/2002,5000,0,5500
Himachal Pradesh,Kangra,Palampur,Mashrooms,Other,03/06/2010,15000,20000,20000
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),Other,06/16/2000,5000,0,5500
Himachal Pradesh,Kangra,Palampur,Onion,Other,11/10/2008,1000,1100,1100
Himachal Pradesh,Kangra,Palampur,Orange,Other,12/07/2018,4000,4500,4500
Himachal Pradesh,Kangra,Palampur,Papaya,Other,08/29/2022,2400,2600,2500
Himachal Pradesh,Kangra,Palampur,Peas Wet,Other,01/06/2004,1700,1800,1800
Himachal Pradesh,Kangra,Palampur,Pineapple,Other,03/18/2008,3500,4000,4000
Himachal Pradesh,Kangra,Palampur,Pomegranate,Other,11/29/2005,7000,7500,7500
Himachal Pradesh,Kangra,Palampur,Potato,Other,04/22/2018,700,800,800
Himachal Pradesh,Kangra,Palampur,Pumpkin,Other,09/08/2011,1600,1800,1700
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,06/23/2006,700,800,800
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,12/27/2001,1600,1800,1700
Himachal Pradesh,Kangra,Palampur,Tomato,Tomato,06/02/2022,2000,2200,2200
Himachal Pradesh,Kangra,Palampur,Turnip,Other,03/15/2020,1000,1200,1200
Himachal Pradesh,Kullu,Bhuntar,Banana,Other,09/26/2014,2340,2400,2370
Himachal Pradesh,Kullu,Bhuntar,Bhindi(Ladies Finger),Other,05/31/2005,5500,5800,5650
Himachal Pradesh,Kullu,Bhuntar,Bottle gourd,Other,06/13/2018,2500,2700,2600
Himachal Pradesh,Kullu,Bhuntar,Brinjal,Other,09/10/2000,2400,2600,2500
Himachal Pradesh,Kullu,Bhuntar,Cabbage,Other,07/13/2022,800,1000,900
Himachal Pradesh,Kullu,Bhuntar,Capsicum,Other,11/04/2001,5500,5800,5650
Himachal Pradesh,Kullu,Bhuntar,Carrot,Other,07/14/2014,1100,1200,1150
Himachal Pradesh,Kullu,Bhuntar,Cauliflower,Other,11/28/2018,1600,1700,1650
Himachal Pradesh,Kullu,Bhuntar,Coriander(Leaves),Other,12/07/2005,1000,1500,1300
Himachal Pradesh,Kullu,Bhuntar,Cucumbar(Kheera),Other,08/24/2012,4500,5000,4800
Himachal Pradesh,Kullu,Bhuntar,French Beans (Frasbean),Other,03/05/2021,5200,5300,5250
Himachal Pradesh,Kullu,Bhuntar,Garlic,Other,06/24/2010,5000,5500,5300
Himachal Pradesh,Kullu,Bhuntar,Ginger(Dry),Other,05/05/2004,9500,10000,9800
Himachal Pradesh,Kullu,Bhuntar,Grapes,Other,04/28/2023,7000,8000,7500
Himachal Pradesh,Kullu,Bhuntar,Green Chilli,Other,10/25/2013,6000,6500,6300
Himachal Pradesh,Kullu,Bhuntar,Guava,Other,11/24/2002,6000,6300,6150
Himachal Pradesh,Kullu,Bhuntar,Kinnow,Other,09/20/2011,2600,2700,2650
Himachal Pradesh,Kullu,Bhuntar,Lemon,Other,11/05/2010,6000,7000,6500
Himachal Pradesh,Kullu,Bhuntar,Onion,Other,04/06/2009,1200,1300,1250
Himachal Pradesh,Kullu,Bhuntar,Papaya,Other,05/24/2006,2800,3000,2900
Himachal Pradesh,Kullu,Bhuntar,Peas Wet,Other,03/28/2023,2600,2700,2650
Himachal Pradesh,Kullu,Bhuntar,Potato,Other,11/16/2012,900,1800,1400
Himachal Pradesh,Kullu,Bhuntar,Pumpkin,Other,01/17/2004,1700,1800,1750
Himachal Pradesh,Kullu,Bhuntar,Raddish,Other,02/17/2012,500,900,700
Himachal Pradesh,Kullu,Bhuntar,Spinach,Other,11/03/2006,800,1000,900
Himachal Pradesh,Kullu,Bhuntar,Squash(Chappal Kadoo),Other,06/15/2014,1800,2000,1900
Himachal Pradesh,Kullu,Bhuntar,Tomato,Other,06/27/2015,2500,2600,2550
Jammu and Kashmir,Badgam,Zaloosa-Chararishrief (F&V),Cauliflower,Cauliflower,02/07/2016,700,900,800
Jammu and Kashmir,Badgam,Zaloosa-Chararishrief (F&V),Cucumbar(Kheera),Cucumbar,09/13/2007,1500,1700,1600
Jammu and Kashmir,Badgam,Zaloosa-Chararishrief (F&V),Knool Khol,Knool Khol,08/27/2018,1200,1300,1250
Karnataka,Bangalore,Ramanagara,Beans,Beans (Whole),01/26/2006,3200,4000,3600
Karnataka,Bangalore,Ramanagara,Beetroot,Beetroot,12/29/2015,1400,1800,1600
Karnataka,Bangalore,Ramanagara,Bhindi(Ladies Finger),Bhindi,02/10/2016,3200,3600,3400
Karnataka,Bangalore,Ramanagara,Bitter gourd,Bitter Gourd,08/15/2015,3600,4000,3800
Karnataka,Bangalore,Ramanagara,Brinjal,Brinjal,05/12/2009,1000,1600,1300
Karnataka,Bangalore,Ramanagara,Cabbage,Cabbage,04/28/2018,1200,1600,1400
Karnataka,Bangalore,Ramanagara,Carrot,Carrot,11/17/2024,1400,1800,1600
Karnataka,Bangalore,Ramanagara,Chilly Capsicum,Chilly Capsicum,05/21/2006,5000,6000,5500
Karnataka,Bangalore,Ramanagara,Cucumbar(Kheera),Cucumbar,04/17/2020,1700,1800,1750
Karnataka,Bangalore,Ramanagara,Drumstick,Drumstick,12/06/2006,2800,3000,2900
Karnataka,Bangalore,Ramanagara,Ginger(Green),Green Ginger,05/03/2019,5000,6000,5500
Karnataka,Bangalore,Ramanagara,Green Avare (W),Green Avare (W),08/27/2025,2800,3000,2900
Karnataka,Bangalore,Ramanagara,Green Chilli,Green Chilly,08/13/2008,3600,4000,3800
Karnataka,Bangalore,Ramanagara,Knool Khol,Knool Khol,02/16/2014,1600,2000,1800
Karnataka,Bangalore,Ramanagara,Papaya,Papaya,09/20/2013,1200,1400,1300
Karnataka,Bangalore,Ramanagara,Peas Wet,Peas Wet,08/10/2021,2800,3200,3000
Karnataka,Bangalore,Ramanagara,Raddish,Raddish,10/02/2009,1600,2000,1800
Karnataka,Bangalore,Ramanagara,Ridgeguard(Tori),Ridgeguard(Tori),11/16/2002,3200,4000,3600
Karnataka,Bangalore,Ramanagara,Seemebadnekai,Seemebadanekai,05/04/2010,1400,1600,1500
Karnataka,Bangalore,Ramanagara,Snakeguard,Snakeguard,09/24/2001,1200,1600,1400
Karnataka,Bangalore,Ramanagara,Suvarna Gadde,Suvarnagadde,06/02/2013,2400,2600,2500
Karnataka,Bangalore,Ramanagara,Tomato,Tomato,12/19/2002,800,1000,900
Karnataka,Bangalore,Ramanagara,Water Melon,Water Melon,05/08/2024,1200,1600,1400
Karnataka,Kolar,Kolar,Beans,Beans (Whole),12/29/2004,3000,3200,3100
Karnataka,Kolar,Kolar,Beetroot,Beetroot,10/01/2023,1300,1500,1400
Karnataka,Kolar,Kolar,Cabbage,Cabbage,10/12/2009,1000,1300,1100
Karnataka,Kolar,Kolar,Capsicum,Capsicum,05/17/2003,3500,4000,3800
Karnataka,Kolar,Kolar,Carrot,Carrot,08/08/2018,1000,1400,1200
Karnataka,Kolar,Kolar,Cauliflower,Local,06/22/2013,1000,1400,1200
Karnataka,Kolar,Kolar,Chilly Capsicum,Chilly Capsicum,07/02/2004,2500,3500,3000
Karnataka,Kolar,Kolar,Knool Khol,Knool Khol,04/30/2007,800,1200,1000
Karnataka,Kolar,Kolar,Raddish,Raddish,02/10/2025,300,600,400
Karnataka,Kolar,Kolar,Ridgeguard(Tori),Ridgeguard(Tori),06/27/2010,3500,4200,3800
Karnataka,Kolar,Kolar,Tomato,Hybrid,05/13/2018,367,1633,1000
Karnataka,Kolar,Kolar,Tomato,Tomato,05/19/2016,334,1000,667
Karnataka,Tumkur,Gubbi,Copra,other,01/11/2004,9000,9000,9000
Kerala,Alappuzha,Aroor,Amphophalus,Amphophalus,10/15/2007,1800,2000,1900
Kerala,Alappuzha,Aroor,Apple,Other,10/26/2009,10000,11200,11000
Kerala,Alappuzha,Aroor,Ashgourd,Other,11/01/2016,1000,1200,1100
Kerala,Alappuzha,Aroor,Banana,Nendra Bale,03/10/2021,4200,4400,4300
Kerala,Alappuzha,Aroor,Banana,Palayamthodan,09/26/2003,2800,3000,2900
Kerala,Alappuzha,Aroor,Banana,Robusta,04/06/2004,2000,2200,2100
Kerala,Alappuzha,Aroor,Banana - Green,Banana - Green,09/12/2022,4000,4200,4100
Kerala,Alappuzha,Chengannur,Amphophalus,Other,10/04/2019,2300,2600,2400
Kerala,Alappuzha,Chengannur,Ashgourd,Other,07/20/2025,1100,1400,1200
Kerala,Alappuzha,Chengannur,Banana - Green,Other,08/08/2015,3700,4000,3800
Kerala,Alappuzha,Chengannur,Beetroot,Other,08/31/2002,1800,2100,2000
Kerala,Alappuzha,Chengannur,Bhindi(Ladies Finger),Other,03/06/2023,4000,4200,4000
Kerala,Alappuzha,Chengannur,Bitter gourd,Other,08/09/2019,4000,4600,4500
Kerala,Alappuzha,Chengannur,Bottle gourd,Other,06/02/2005,1000,1300,1100
Kerala,Alappuzha,Chengannur,Capsicum,Other,12/01/2003,5700,6200,6000
Kerala,Alappuzha,Chengannur,Carrot,Other,03/10/2009,3400,3700,3600
Kerala,Alappuzha,Chengannur,Cowpea(Veg),Cowpea (Veg),03/18/2023,4000,4300,4200
Kerala,Alappuzha,Chengannur,Cucumbar(Kheera),Other,02/08/2003,1600,2200,2000
Kerala,Alappuzha,Mannar,Amphophalus,Other,02/09/2020,3500,3700,3600
Kerala,Alappuzha,Mannar,Ashgourd,Other,09/18/2008,1000,1300,1100
Kerala,Alappuzha,Mannar,Banana - Green,Other,07/22/2018,4000,4200,4100
Kerala,Alappuzha,Mannar,Bhindi(Ladies Finger),Other,06/28/2018,3000,3200,3100
Kerala,Alappuzha,Mannar,Bitter gourd,Other,05/20/2012,4000,4200,4100
Kerala,Alappuzha,Mannar,Brinjal,Other,05/23/2023,3200,3600,3500
Kerala,Alappuzha,Mannar,Cabbage,Other,10/06/2017,3000,3300,3200
Kerala,Alappuzha,Mannar,Capsicum,Other,08/21/2004,8000,8300,8200
Kerala,Alappuzha,Mannar,Carrot,Other,04/22/2024,3700,3900,3800
Kerala,Ernakulam,Piravam,Amaranthus,Other,06/09/2017,1500,2000,1800
Kerala,Ernakulam,Piravam,Amphophalus,Other,10/12/2008,2000,3000,2500
Kerala,Ernakulam,Piravam,Ashgourd,Other,12/16/2005,1500,2000,1800
Kerala,Ernakulam,Piravam,Banana - Green,Other,05/19/2024,3000,4000,3500
Kerala,Ernakulam,Piravam,Beetroot,Other,01/02/2024,2000,2500,2200
Kerala,Ernakulam,Piravam,Bitter gourd,Other,04/29/2023,4000,5000,4500
Kerala,Ernakulam,Piravam,Brinjal,Other,02/06/2017,2000,2500,2200
Kerala,Ernakulam,Piravam,Cowpea(Veg),Other,07/12/2017,4000,5000,4500
Kerala,Ernakulam,Piravam,Potato,Other,03/05/2024,2000,3000,2500
Kerala,Ernakulam,Piravam,Tomato,Other,02/02/2001,1500,2000,1800
Kerala,Kannur,Taliparamba,Arecanut(Betelnut/Supari),Other,06/01/2007,19500,20000,19750
Kerala,Kannur,Taliparamba,Black pepper,Other,12/22/2008,29000,29500,29250
Kerala,Kannur,Taliparamba,Coconut,Other,03/17/2015,3200,3400,3300
Kerala,Kannur,Taliparamba,Coconut Oil,Other,08/18/2003,18000,18300,18150
Kerala,Kannur,Taliparamba,Copra,other,07/02/2018,10100,10300,10250
Kerala,Kannur,Taliparamba,Rubber,Other,02/22/2010,12300,12400,12350
Kerala,Kasargod,Kasargod,Amaranthus,Other,07/22/2016,1500,1600,1550
Kerala,Kasargod,Kasargod,Arecanut(Betelnut/Supari),Other,11/19/2008,21000,22000,21500
Kerala,Kasargod,Kasargod,Banana,Medium,07/30/2019,2200,2300,2250
Kerala,Kasargod,Kasargod,Banana,Nendra Bale,10/07/2023,3000,3100,3050
Kerala,Kasargod,Kasargod,Bhindi(Ladies Finger),Other,05/19/2021,5500,5600,5550
Kerala,Kasargod,Kasargod,Cashewnuts,Other,11/15/2019,10000,10200,10100
Kerala,Kasargod,Kasargod,Copra,other,07/10/2016,10200,10400,10300
Kerala,Kasargod,Kasargod,Cowpea(Veg),Other,12/22/2005,2000,2150,2100
Kerala,Kasargod,Kasargod,Cucumbar(Kheera),Other,07/01/2012,1000,1200,1100
Kerala,Kasargod,Kasargod,Paddy(Dhan)(Common),Other,03/07/2009,1800,1900,1850
Kerala,Kasargod,Kasargod,Pepper garbled,Other,12/18/2025,32000,33000,32500
Kerala,Kasargod,Kasargod,Pumpkin,Other,12/04/2014,800,900,850
Kerala,Kasargod,Manjeswaram,Amaranthus,Amaranthus,05/13/2005,2400,3400,2900
Kerala,Kasargod,Manjeswaram,Arecanut(Betelnut/Supari),Other,04/26/2015,21500,22000,21750
Kerala,Kasargod,Manjeswaram,Ashgourd,Ashgourd,06/29/2015,2400,3000,2700
Kerala,Kasargod,Manjeswaram,Banana - Green,Other,05/26/2010,4200,5000,4600
Kerala,Kasargod,Manjeswaram,Beetroot,Beetroot,04/14/2025,2200,3000,2600
Kerala,Kasargod,Manjeswaram,Bhindi(Ladies Finger),Bhindi,08/16/2025,6000,7000,6500
Kerala,Kasargod,Manjeswaram,Bitter gourd,Bitter Gourd,08/03/2015,5500,6000,5750
Kerala,Kasargod,Manjeswaram,Bottle gourd,Bottle Gourd,03/01/2014,1600,2000,1800
Kerala,Kasargod,Manjeswaram,Brinjal,Brinjal,09/27/2024,3200,4000,3600
Kerala,Kasargod,Manjeswaram,Cabbage,Cabbage,09/12/2015,2000,3000,2500
Kerala,Kasargod,Manjeswaram,Carrot,Carrot,12/25/2014,2400,3000,2700
Kerala,Kasargod,Manjeswaram,Coconut Seed,Other,07/03/2010,3400,3500,3450
Kerala,Kasargod,Manjeswaram,Copra,Copra,10/23/2010,10000,10200,10100
Kerala,Kasargod,Manjeswaram,Cowpea(Veg),Cowpea (Veg),05/01/2024,4500,5500,5000
Kerala,Kasargod,Manjeswaram,Cucumbar(Kheera),Cucumbar,12/19/2000,2400,3000,2700
Kerala,Kasargod,Manjeswaram,Drumstick,Drumstick,07/21/2025,5500,6500,6000
Kerala,Kasargod,Manjeswaram,Ginger(Green),Green Ginger,07/01/2008,8000,9000,8500
Kerala,Kasargod,Manjeswaram,Green Chilli,Green Chilly,10/09/2008,4500,5500,5000
Kerala,Kasargod,Manjeswaram,Indian Beans (Seam),Other,07/09/2010,4200,5000,4600
Kerala,Kasargod,Manjeswaram,Little gourd (Kundru),Other,04/20/2001,4200,5000,4600
Kerala,Kasargod,Manjeswaram,Long Melon(Kakri),Other,04/02/2025,2400,3000,2700
Kerala,Kasargod,Manjeswaram,Pepper garbled,Other,01/05/2003,27500,28000,27750
Kerala,Kasargod,Manjeswaram,Potato,Other,09/13/2021,2200,2600,2400
Kerala,Kasargod,Manjeswaram,Pumpkin,Pumpkin,06/28/2008,2400,3000,2700
Kerala,Kasargod,Manjeswaram,Ridgeguard(Tori),Ridgeguard(Tori),10/23/2004,4500,5500,5000
Kerala,Kasargod,Manjeswaram,Snakeguard,Snakeguard,03/08/2013,3200,4000,3600
Kerala,Kasargod,Manjeswaram,Sweet Potato,Sweet Potato,10/19/2021,2600,3400,3000
Kerala,Kasargod,Manjeswaram,Tapioca,Other,11/09/2020,2400,3400,2900
Kerala,Kasargod,Manjeswaram,Tomato,Tomato,04/23/2016,1600,2000,1800
Kerala,Kollam,Anchal,Amaranthus,Other,03/19/2007,4500,4700,4600
Kerala,Kollam,Anchal,Ashgourd,Other,08/30/2019,5600,5800,5700
Kerala,Kollam,Anchal,Banana,Nendra Bale,08/18/2001,6000,6200,6100
Kerala,Kollam,Anchal,Banana,Palayamthodan,11/19/2020,2600,2800,2700
Kerala,Kollam,Anchal,Banana,Poovan,09/20/2011,5800,6000,5900
Kerala,Kollam,Anchal,Banana,Red Banana,09/22/2016,4700,4900,4800
Kerala,Kollam,Anchal,Banana,Robusta,12/13/2002,2300,2500,2400
Kerala,Kollam,Anchal,Beetroot,Other,04/23/2000,3100,3300,3200
Kerala,Kollam,Anchal,Bhindi(Ladies Finger),Other,03/10/2001,3700,3900,3800
Kerala,Kollam,Anchal,Bitter gourd,Other,06/20/2022,6000,6200,6100
Kerala,Kollam,Anchal,Bottle gourd,Other,11/21/2022,1200,1400,1300
Kerala,Kollam,Anchal,Cabbage,Other,10/20/2006,1500,1700,1600
Kerala,Kollam,Anchal,Carrot,Carrot,12/05/2017,5500,5700,5600
Kerala,Kollam,Anchal,Cauliflower,Cauliflower,10/09/2019,3500,3700,3600
Kerala,Kollam,Anchal,Colacasia,Other,03/31/2007,4000,4200,4100
Kerala,Kollam,Anchal,Drumstick,Other,02/26/2010,3400,3600,3500
Kerala,Kollam,Anchal,Potato,Other,04/13/2024,1800,2000,1900
Kerala,Kollam,Anchal,Pumpkin,Other,02/07/2016,1000,1200,1100
Kerala,Kollam,Anchal,Snakeguard,Other,07/01/2024,2200,2400,2300
Kerala,Kollam,Chathanoor,Banana,Banana - Ripe,05/07/2012,4000,4400,4200
Kerala,Kollam,Chathanoor,Banana,Palayamthodan,11/25/2021,1800,2200,2000
Kerala,Kollam,Chathanoor,Banana,Poovan,11/07/2019,4300,4700,4500
Kerala,Kollam,Chathanoor,Banana,Red Banana,01/09/2006,4300,4700,4500
Kerala,Kollam,Chathanoor,Bhindi(Ladies Finger),Other,02/24/2009,4800,5200,5000
Kerala,Kollam,Chathanoor,Brinjal,Other,10/16/2008,3300,3700,3500
Kerala,Kollam,Chathanoor,Ginger(Green),Other,02/25/2015,6800,7200,7000
Kerala,Kollam,Chathanoor,Little gourd (Kundru),Other,04/14/2014,3800,4200,4000
Kerala,Kollam,Chathanoor,Tomato,Other,09/16/2001,3300,3700,3500
Kerala,Kollam,Kaliyanchanda,Amaranthus,Amaranthus,07/16/2002,1300,1500,1400
Kerala,Kollam,Kaliyanchanda,Banana - Green,Banana - Green,01/16/2008,5500,6000,5800
Kerala,Kollam,Kaliyanchanda,Bhindi(Ladies Finger),Bhindi,12/07/2002,4000,4500,4200
Kerala,Kollam,Kaliyanchanda,Bitter gourd,Bitter Gourd,10/05/2006,9600,10100,9800
Kerala,Kollam,Kaliyanchanda,Cucumbar(Kheera),Cucumbar,09/15/2020,3600,3900,3800
Kerala,Kollam,Kaliyanchanda,Elephant Yam (Suran),Elephant Yam (Suran),04/02/2002,3100,3300,3200
Kerala,Kollam,Kaliyanchanda,Ginger(Green),Green Ginger,09/01/2022,8500,9000,8800
Kerala,Kollam,Kaliyanchanda,Snakeguard,Other,07/16/2018,1700,1900,1800
Kerala,Kollam,Kaliyanchanda,Tapioca,Other,11/14/2024,2400,2500,2450
Kerala,Kollam,Kaliyanchanda,Turmeric (raw),Other,09/10/2003,2000,2200,2100
Kerala,Kottayam,Ettumanoor,Ashgourd,Other,05/01/2021,1300,1400,1400
Kerala,Kottayam,Ettumanoor,Banana,Banana - Ripe,06/01/2016,3800,3800,3800
Kerala,Kottayam,Ettumanoor,Banana - Green,Banana - Green,11/22/2018,2000,2100,2100
Kerala,Kottayam,Ettumanoor,Beetroot,Other,02/26/2017,2100,2200,2200
Kerala,Kottayam,Ettumanoor,Bhindi(Ladies Finger),Other,10/13/2014,2600,2800,2700
Kerala,Kottayam,Ettumanoor,Bitter gourd,Other,06/13/2015,3300,3500,3400
Kerala,Kottayam,Ettumanoor,Brinjal,Other,10/12/2019,2200,2400,2300
Kerala,Kottayam,Ettumanoor,Cabbage,Other,03/07/2016,2000,2200,2100
Kerala,Kottayam,Ettumanoor,Carrot,Carrot,05/18/2013,2500,2800,2600
Kerala,Kottayam,Ettumanoor,Cluster beans,Other,10/25/2012,3300,3500,3400
Kerala,Kottayam,Ettumanoor,Coconut,Medium,06/29/2017,3500,3700,3600
Kerala,Kottayam,Ettumanoor,Colacasia,Other,01/08/2007,5500,5700,5700
Kerala,Kottayam,Ettumanoor,Cucumbar(Kheera),Cucumbar,06/13/2003,1800,2000,2000
Kerala,Kottayam,Ettumanoor,Drumstick,Drumstick,06/13/2023,5500,5800,5800
Kerala,Kottayam,Ettumanoor,Elephant Yam (Suran),Other,06/18/2020,2200,2400,2300
Kerala,Kottayam,Ettumanoor,Ginger(Green),Green Ginger,10/26/2002,8500,8600,8600
Kerala,Kottayam,Ettumanoor,Green Chilli,Green Chilly,06/13/2025,3600,3800,3800
Kerala,Kottayam,Ettumanoor,Little gourd (Kundru),Other,11/09/2007,3300,3500,3400
Kerala,Kottayam,Ettumanoor,Mango (Raw-Ripe),Mango - Raw-Ripe,03/01/2015,3300,3500,3400
Kerala,Kottayam,Ettumanoor,Onion,Big,10/30/2023,3300,3500,3500
Kerala,Kottayam,Ettumanoor,Onion,Onion,01/09/2008,1300,1500,1400
Kerala,Kottayam,Ettumanoor,Potato,Potato,09/23/2009,2800,3000,2800
Kerala,Kottayam,Ettumanoor,Pumpkin,Pumpkin,11/17/2025,1000,1100,1100
Kerala,Kottayam,Ettumanoor,Snakeguard,Snakeguard,07/08/2023,1900,2000,1900
Kerala,Kottayam,Ettumanoor,Tapioca,Tapioca,02/06/2002,2300,2500,2500
Kerala,Kottayam,Ettumanoor,Tomato,Tomato,04/18/2015,2100,2300,2200
Kerala,Kottayam,Kottayam,Banana,Banana - Ripe,05/15/2017,3800,4100,4000
Kerala,Kottayam,Kottayam,Banana,Palayamthodan,06/23/2018,1600,1900,1800
Kerala,Kottayam,Kottayam,Banana,Poovan,10/12/2017,2800,3100,3000
Kerala,Malappuram,Kondotty,Amaranthus,Other,09/29/2016,1700,1900,1800
Kerala,Malappuram,Kondotty,Amla(Nelli Kai),Other,03/01/2013,3700,3900,3800
Kerala,Malappuram,Kondotty,Amphophalus,Other,03/12/2022,2200,2400,2300
Kerala,Malappuram,Kondotty,Ashgourd,Other,02/05/2013,1200,1400,1300
Kerala,Malappuram,Kondotty,Beetroot,Other,03/09/2010,1800,2000,1900
Kerala,Malappuram,Kondotty,Bhindi(Ladies Finger),Other,05/20/2004,3000,3400,3200
Kerala,Malappuram,Kondotty,Bitter gourd,Other,12/21/2022,3000,3200,3100
Kerala,Malappuram,Kondotty,Bottle gourd,Other,01/28/2006,1600,1800,1700
Kerala,Malappuram,Kondotty,Brinjal,Other,09/25/2025,1800,2000,1900
Kerala,Malappuram,Kondotty,Cabbage,Other,10/22/2015,1200,1400,1300
Kerala,Malappuram,Kondotty,Carrot,Other,04/06/2013,2000,2200,2100
Kerala,Malappuram,Kondotty,Cauliflower,Other,01/21/2008,2000,2200,2100
Kerala,Malappuram,Kondotty,Cowpea(Veg),Other,05/05/2016,3000,3200,3100
Kerala,Malappuram,Kondotty,Cucumbar(Kheera),Other,04/21/2005,1200,1400,1300
Kerala,Malappuram,Kondotty,Drumstick,Other,07/07/2001,6000,6200,6100
Kerala,Malappuram,Kondotty,French Beans (Frasbean),Other,01/22/2008,3000,3200,3100
Kerala,Malappuram,Kondotty,Garlic,Other,05/20/2005,7000,7200,7100
Kerala,Malappuram,Kondotty,Ginger(Green),Other,09/01/2016,8800,9000,8900
Kerala,Malappuram,Kondotty,Green Chilli,Other,12/03/2016,3000,3200,3100
Kerala,Malappuram,Kondotty,Lemon,Other,09/24/2019,4000,4200,4100
Kerala,Malappuram,Kondotty,Onion,Other,01/23/2019,1300,1500,1400
Kerala,Malappuram,Kondotty,Orange,Other,01/16/2002,5800,6000,5900
Kerala,Malappuram,Kondotty,Potato,Other,04/12/2012,2000,2200,2100
Kerala,Malappuram,Kondotty,Pumpkin,Other,10/10/2018,1200,1400,1300
Kerala,Malappuram,Kondotty,Snakeguard,Other,05/20/2005,1600,1800,1700
Kerala,Malappuram,Kondotty,Tomato,Other,09/12/2009,1000,1200,1100
Kerala,Thirssur,Chelakkara,Amaranthus,Other,02/24/2017,1600,1800,1700
Kerala,Thirssur,Chelakkara,Ashgourd,Other,03/08/2008,1800,2000,1900
Kerala,Thirssur,Chelakkara,Banana - Green,Other,05/03/2019,4200,4400,4300
Kerala,Thirssur,Chelakkara,Beetroot,Other,04/05/2025,2000,2200,2100
Kerala,Thirssur,Chelakkara,Bhindi(Ladies Finger),Other,02/23/2002,2200,2400,2300
Kerala,Thirssur,Chelakkara,Bitter gourd,Other,10/01/2023,2600,2800,2700
Kerala,Thirssur,Chelakkara,Brinjal,Other,03/30/2001,1600,1800,1700
Kerala,Thirssur,Chelakkara,Cabbage,Other,02/21/2002,2000,2200,2100
Kerala,Thirssur,Chelakkara,Carrot,Other,05/11/2025,3400,3600,3500
Kerala,Thirssur,Chelakkara,Cauliflower,Other,05/31/2011,3500,3800,3600
